'Name'; 'Calls'; 'Time Per Call'; 'Time Total'
'Back/test/Mono._lookup'; 38096; 0,0013; 48,0278
'Back/test/Simple.proper_simple_equal'; 13372326; 0,0000; 31,7840
'Util/lib/Map.get_value_unsafe'; 6718; 0,0005; 3,2638
'Back/test/Mono._lookup'; 1720; 0,0017; 3,0080
'Back/test/Simple._gen_proper_simple'; 1268; 0,0016; 1,9775
'Back/test/Simple.proper_simple_equal'; 768050; 0,0000; 1,9524
'Util/lib/Typeset.newline'; 207; 0,0061; 1,2544
'Util/lib/Typeset._rescope'; 34; 0,0348; 1,1840
'Util/lib/Typeset._denull'; 34; 0,0167; 0,5692
'Util/lib/Typeset._linearize'; 34; 0,0163; 0,5525
'Back/lib/Naming.sample_label'; 3939; 0,0001; 0,4922
'Util/lib/Typeset._fixed'; 34; 0,0122; 0,4160
'Back/test/Simple._gen_simple'; 128; 0,0029; 0,3771
'Util/lib/Typeset._serialize'; 34; 0,0087; 0,2948
'Back/test/Mono._gen_proper_simple_mono'; 1268; 0,0002; 0,2542
'Util/lib/Extra.List.cons'; 93659; 0,0000; 0,2407
'Util/lib/Extra.List.cons'; 95249; 0,0000; 0,2361
'Back/test/Simple._gen_proper_simple'; 66; 0,0034; 0,2220
'Util/lib/AVL.fold'; 2691; 0,0001; 0,1966
'Util/lib/Env.bind'; 3829; 0,0000; 0,1895
'Util/lib/AVL.local_inbalance'; 16430; 0,0000; 0,1764
'Util/lib/Infix.<=='; 847651; 0,0000; 0,1700
'Front/lib/Lexer.token'; 12387; 0,0000; 0,1489
'Util/lib/Order.int_compare'; 38258; 0,0000; 0,1325
'Util/lib/AVL.local_rebalance'; 16430; 0,0000; 0,1256
'Util/lib/Extra.compose'; 13436; 0,0000; 0,1221
'Front/lib/Parser.input'; 17; 0,0070; 0,1191
'Util/lib/Typeset.get_break'; 3490; 0,0000; 0,1190
'Util/lib/Map.get_key'; 62302; 0,0000; 0,1152
'Util/lib/Extra.identity'; 24863; 0,0000; 0,0992
'Util/lib/Typeset._identities'; 34; 0,0025; 0,0842
'Util/lib/AVL.make_node'; 28117; 0,0000; 0,0830
'Back/test/Mono._proper_simple_convert'; 630; 0,0001; 0,0826
'Util/lib/AVL.get_height'; 32860; 0,0000; 0,0818
'Util/lib/Typeset.get_pos'; 17587; 0,0000; 0,0602
'Util/lib/Env.bind'; 1739; 0,0000; 0,0551
'Util/lib/Typeset.get_head'; 2504; 0,0000; 0,0523
'load(back/test/Main)'; 1; 0,0520; 0,0520
'Util/lib/Typeset.~$'; 11238; 0,0000; 0,0516
'Back/lib/Naming.suffix'; 1927; 0,0000; 0,0490
'Util/lib/Extra.List.fold'; 2691; 0,0000; 0,0422
'Back/lib/Syntax._equal_stmt'; 17; 0,0023; 0,0396
'Util/lib/Extra.identity'; 2727; 0,0000; 0,0363
'Back/test/Expr._synth_expr_bind'; 2362; 0,0000; 0,0360
'Util/lib/Typeset._reassociate'; 34; 0,0010; 0,0339
'Back/test/Simple.proper_simple_arrow'; 18414; 0,0000; 0,0337
'Util/lib/Typeset.<!+>'; 3866; 0,0000; 0,0335
'Back/test/Expr._synth_expr_lookup'; 909; 0,0000; 0,0330
'Util/lib/Extra.identity'; 16978; 0,0000; 0,0324
'Util/lib/AVL.get_height'; 9777; 0,0000; 0,0321
'Back/test/Mono.proper_simple_mono_arrow'; 15231; 0,0000; 0,0304
'Util/lib/Typeset._broken'; 34; 0,0009; 0,0295
'Back/test/Expr._synth_expr_lookup'; 758; 0,0000; 0,0286
'Back/test/Expr._synth_expr_lookup'; 778; 0,0000; 0,0276
'Util/lib/Typeset.<+>'; 4068; 0,0000; 0,0273
'Util/lib/Map.values'; 2691; 0,0000; 0,0261
'Util/lib/Map.make_bind'; 13371; 0,0000; 0,0254
'Back/lib/Syntax.label_equal'; 7022; 0,0000; 0,0253
'Back/test/Main.parse'; 89; 0,0003; 0,0243
'Util/lib/Typeset.text'; 13622; 0,0000; 0,0227
'Back/lib/Naming.suffix'; 751; 0,0000; 0,0223
'Util/lib/Typeset.comp'; 11299; 0,0000; 0,0205
'Util/lib/Typeset.text'; 11238; 0,0000; 0,0188
'Util/lib/AVL.to_list'; 2691; 0,0000; 0,0186
'Back/test/Poly._proper_simple_mono_poly'; 501; 0,0000; 0,0183
'Util/lib/AVL.get_height'; 6846; 0,0000; 0,0182
'ROOT'; 0; 0,0169; 0,0169
'Back/test/Mono.proper_simple_mono_equal'; 5208; 0,0000; 0,0164
'Util/lib/Typeset._structurize'; 92; 0,0002; 0,0162
'Back/test/Mono.proper_simple_mono_equal'; 4896; 0,0000; 0,0162
'Util/lib/Extra.swap'; 2580; 0,0000; 0,0158
'Back/test/Mono.proper_simple_mono_equal'; 3907; 0,0000; 0,0152
'Util/lib/Extra.List.map'; 2691; 0,0000; 0,0150
'Back/lib/Print._group'; 932; 0,0000; 0,0144
'Util/lib/Typeset.seq'; 3083; 0,0000; 0,0137
'Util/lib/Extra.List.cons'; 6718; 0,0000; 0,0132
'Back/test/Mono._gen_proper_simple_mono'; 66; 0,0002; 0,0131
'Util/lib/Typeset.make_node'; 5707; 0,0000; 0,0122
'Util/lib/Typeset.get_head'; 763; 0,0000; 0,0115
'Util/lib/Typeset.<!&>'; 1847; 0,0000; 0,0112
'Back/test/Simple._gen_simple_wrap'; 128; 0,0001; 0,0111
'Util/lib/AVL.insert_cont'; 13436; 0,0000; 0,0109
'Util/lib/Typeset.make_edge'; 5473; 0,0000; 0,0105
'Util/lib/Typeset.<!&>'; 1864; 0,0000; 0,0101
'Back/lib/Naming.suffix'; 652; 0,0000; 0,0094
'Util/lib/Infix.<=='; 2383; 0,0000; 0,0094
'Util/lib/Typeset.line'; 2693; 0,0000; 0,0094
'Back/test/Expr._synth_expr_lookup'; 280; 0,0000; 0,0091
'Util/lib/AVL.get_count'; 4564; 0,0000; 0,0091
'Util/lib/Typeset.~$'; 1864; 0,0000; 0,0091
'Back/lib/Naming.suffix'; 778; 0,0000; 0,0080
'Back/lib/Print._pass'; 1190; 0,0000; 0,0077
'Util/lib/Extra.identity'; 3969; 0,0000; 0,0075
'Util/lib/Typeset.</>'; 1645; 0,0000; 0,0074
'Util/lib/Map.get_value_unsafe'; 27; 0,0003; 0,0072
'Util/lib/Typeset.comp'; 4068; 0,0000; 0,0070
'Util/lib/Typeset.seq'; 4068; 0,0000; 0,0068
'Util/lib/Typeset.comp'; 3866; 0,0000; 0,0068
'Back/lib/Print._layout_stmt'; 128; 0,0001; 0,0067
'Util/lib/Typeset._structurize'; 34; 0,0002; 0,0066
'Util/lib/Typeset.get_pos'; 495; 0,0000; 0,0065
'Back/lib/Print._wrap'; 301; 0,0000; 0,0063
'Front/lib/Parser.input'; 6; 0,0010; 0,0062
'Back/test/Poly.proper_simple_mono_poly'; 501; 0,0000; 0,0059
'Util/lib/Typeset.nest'; 3182; 0,0000; 0,0059
'Front/lib/Lexer.token'; 662; 0,0000; 0,0054
'Util/lib/Typeset.nest'; 3226; 0,0000; 0,0054
'Back/test/Expr._synth_expr_bind'; 151; 0,0000; 0,0053
'Back/lib/Naming.sample'; 1927; 0,0000; 0,0052
'Util/lib/Extra.identity'; 2691; 0,0000; 0,0051
'Util/lib/Env.lookup'; 1758; 0,0000; 0,0050
'Util/lib/Typeset.newline'; 9; 0,0006; 0,0050
'Back/test/Mono.proper_simple_mono_arrow'; 2132; 0,0000; 0,0050
'Util/lib/AVL.make_null'; 2657; 0,0000; 0,0049
'Util/lib/AVL.make_node'; 2580; 0,0000; 0,0049
'Back/test/Mono._proper_simple_convert'; 43; 0,0001; 0,0048
'Back/lib/Print._layout_poly'; 556; 0,0000; 0,0047
'Back/test/Mono.proper_simple_mono_equal'; 1789; 0,0000; 0,0046
'Util/lib/Map.get_value_unsafe'; 16; 0,0003; 0,0046
'Util/lib/Env.lookup'; 610; 0,0000; 0,0044
'Back/test/Mono._lookup'; 115; 0,0000; 0,0042
'Util/lib/Env.lookup'; 573; 0,0000; 0,0041
'Util/lib/Typeset.get_offset'; 19686; 0,0000; 0,0041
'Back/lib/Syntax.expr_var'; 1235; 0,0000; 0,0040
'Util/lib/Typeset._linearize'; 92; 0,0000; 0,0038
'Back/lib/Naming.suffix'; 220; 0,0000; 0,0038
'Back/lib/Naming.suffix'; 35; 0,0001; 0,0038
'Util/lib/Typeset.comp'; 1847; 0,0000; 0,0038
'Util/lib/Typeset.~$'; 602; 0,0000; 0,0038
'Util/lib/Typeset.inc_pos'; 75995; 0,0000; 0,0037
'Util/lib/Env.bind'; 169; 0,0000; 0,0037
'Util/lib/Extra.identity'; 2151; 0,0000; 0,0037
'Back/lib/Syntax.stmt_expr'; 1375; 0,0000; 0,0035
'Back/lib/Syntax.expr_abs'; 1319; 0,0000; 0,0035
'Util/lib/Typeset.get_head'; 187; 0,0000; 0,0034
'Back/lib/Naming.sample_label'; 92; 0,0000; 0,0034
'Back/test/Mono.exist_equal'; 1306; 0,0000; 0,0032
'Util/lib/Typeset.<!&>'; 602; 0,0000; 0,0032
'Util/lib/Typeset.comp'; 1864; 0,0000; 0,0032
'Front/lib/Lexer.token'; 541; 0,0000; 0,0031
'Util/lib/Typeset.get_head'; 86; 0,0000; 0,0031
'Util/lib/Typeset.text'; 1864; 0,0000; 0,0031
'Back/test/Expr._synth_stmt'; 128; 0,0000; 0,0030
'Front/lib/Parser.input'; 2; 0,0015; 0,0030
'Util/lib/Typeset.grp'; 1692; 0,0000; 0,0029
'Back/lib/Syntax.stmt_defn'; 1065; 0,0000; 0,0028
'Front/lib/Lexer.token'; 178; 0,0000; 0,0028
'Util/lib/Typeset.line'; 1645; 0,0000; 0,0028
'Front/lib/Parser.input'; 2; 0,0014; 0,0027
'Util/lib/Typeset.get_break'; 234; 0,0000; 0,0027
'Back/lib/Naming.suffix'; 92; 0,0000; 0,0026
'Back/lib/Syntax.poly_var'; 751; 0,0000; 0,0026
'Back/test/Mono._bind'; 630; 0,0000; 0,0026
'Back/test/Main.parse'; 17; 0,0001; 0,0025
'Back/lib/Syntax.exist_equal'; 1395; 0,0000; 0,0025
'Util/lib/Typeset._broken'; 92; 0,0000; 0,0024
'Util/lib/Typeset.grp'; 1369; 0,0000; 0,0024
'Back/lib/Syntax.stmt_expr'; 1229; 0,0000; 0,0023
'Back/lib/Naming.sample_label'; 48; 0,0000; 0,0023
'Back/test/Mono.proper_simple_mono_var'; 630; 0,0000; 0,0023
'Back/lib/Naming.suffix'; 86; 0,0000; 0,0023
'Back/lib/Syntax.expr_abs'; 1212; 0,0000; 0,0022
'Util/lib/Typeset._serialize'; 92; 0,0000; 0,0022
'Front/lib/Parser.input'; 89; 0,0000; 0,0021
'Back/lib/Syntax.stmt_defn'; 991; 0,0000; 0,0020
'Util/lib/Typeset.~$'; 205; 0,0000; 0,0019
'Back/lib/Syntax.poly_param'; 727; 0,0000; 0,0019
'Util/lib/Map.lookup_unsafe_cont'; 6718; 0,0000; 0,0019
